genres,title_x,actors,TMDB_Genre,Vote_Average,Vote_Count
Action|Comedy|Romance,Bodyguard,Salman Khan|Kareena Kapoor|Raj Babbar|Hazel Keech|Mohammad Faizan|Aditya Pancholi|Mahesh Manjrekar|Chetan Hansraj|Rajat Rawail|Reema Debnath|Vidya Sinha|Asrani|Katrina Kaif|Mohan Kapoor|,"Drama, Action, Romance",5.2,133.0
Drama|Romance,Yeh Dooriyan,Deepshika Nagpal|Inder Kumar|Delnaaz Irani|Chitrashi Rawat|Kunickaa Sadanand|Achint Kaur|Rajesh Khera|Shishir Sharma|Anita Wahi|Ayub Khan|Baby Vidhir|Master Vivak|Kaishav Arora|,"Drama, Romance",5.7,3.0
Crime|Drama|Thriller,Not a Love Story,Deepak Dobriyal|Mahie Gill|Zakir Hussain|Darshan Jariwala|Urmila Matondkar|Ajay Gehi|Prabhleen Sandhu|Neil Bhoopalam|Dimple Ghosh|,"Crime, Drama, Thriller",5.7,10.0
Comedy|Crime|Drama,Hum Tum Shabana,Tusshar Kapoor|Shreyas Talpade|Minissha Lamba|Mantra|Mantra|Narendra Jetley|,"Comedy, Romance",4.0,5.0
Comedy|Drama,Mummy Punjabi,Kiron Kher|Kanwaljit Singh|Jackie Shroff|Anju Mahendru|Divya Dutta|Viraf Patel|Sachin|Simran Vaid|Urwashi Gandhi|Michael Joseph|Freddy Daruwala|Kashif Khan|Gurdas Maan|Satish Kaushik|,,6.0,1.0
Comedy|Family|Romance,Mere Brother Ki Dulhan,Imran Khan|Katrina Kaif|Ali Zafar|Tara D'Souza|Parikshat Sahni|Kanwaljit Singh|Mahru Sheikh|Suparna Marwah|Arfeen Khan|Mohammed Zeeshan Ayyub|Tariq Vasudeva|Brijendra Kala|Kusum Talwar|Vijay Mohan|,"Drama, Comedy, Romance",5.992,66.0
Drama|Romance|War,Mausam,Shahid Kapoor|Sonam Kapoor|Anupam Kher|Supriya Pathak|Aditi Sharma|Manoj Pahwa|Vaibhav Talwar|,"Romance, Drama",5.7,35.0
Romance,U R My Jaan,Mikaal|Preeti Soni|Himani Shivpuri|Anil Dhawan|Rajesh Khera|Aman Verma|Abhilasha Das|Aishwarya Sakhuja|Nathassha Sikka|Vipul Roy|Partha Ray|Narendra Jetley|Sunil Nagar|Neha Gupta|,,5.0,1.0
Action|Thriller,Force,John Abraham|Genelia D'Souza|Raj Babbar|Mohnish Bahl|Kamlesh Sawant|Ameet Gaurr|Anaitha Nair|Mukesh Rishi|Shashank Shende|Vidyut Jammwal|,"Action, Crime, Drama, Thriller",6.476,41.0
Action|Crime|Drama,Saheb Biwi Aur Gangster,Jimmy Sheirgill|Mahie Gill|Randeep Hooda|Shreya Narayan|Deepal Shaw|Rajiv Gupta|Deep Raj Rana|Vipin Sharma|Kanika Dang|Sonal Joshi|Mukti Mohan|Sitaram Panchal|Rahul Mittra|Brijendra Kala|,"Action, Drama, Thriller",6.2,4.0
Comedy|Drama|Romance,Tere Mere Phere,Vinay Pathak|Riya Sen|Jagrat Desai|Sasha Goradia|Darshan Jariwala|Sushmita Mukherjee|Anup Jalota|Aniruddha Nair|Kriti Panth|Rohan Shah|Ketan Karande|,"Comedy, Romance",9.0,2.0
Comedy|Drama|Sport,Breakaway,Vinay Virmani|Camilla Belle|Russell Peters|Rob Lowe|Anupam Kher|Gurpreet Ghuggi|Sakina Jaffrey|Noureen DeWulf|Kashish Suri|Pamela Sinha|Prem Singh|Al Mukadam|Ali Hassan|Rup Magon|,"Comedy, Drama, Romance",5.583,23.0
Drama|Thriller,Chargesheet,Dev Anand|Sanket Dhawan|Divya Dutta|Shehzad Khan|Devshi Khanduri|Hansal Mehta|Chirag Patil|Riya Sen|Naseeruddin Shah|Yashpal Sharma|Jackie Shroff|Thakur Amar Singh|,"Drama, Mystery, Thriller",0.0,0.0
Comedy|Drama|Romance,Love Breakups Zindagi,Zayed Khan|Dia Mirza|Cyrus Sahukar|Tisca Chopra|Satyadeep Misra|Vaibhav Talwar|Pallavi Sharda|Auritra Ghosh|Umang Jain|Farida Jalal|,"Comedy, Romance",6.4,8.0
Comedy|Romance,Mujhse Fraaandship Karoge,Saqib Saleem|Saba Azad|Nishant Dahiya|Tara D'Souza|Prabal Panjabi|Chitrak Bandyopadhyay|Manasi Rachh|Suparna Marwah|,"Drama, Comedy, Romance",6.8,19.0
Action|Drama|Mystery,Aazaan,Sachiin Joshi|Candice Boucher|Arya Babbar|Samy Gharbi|,"Thriller, Action",2.5,6.0
Action|Adventure|Sci-Fi,Ra.One,Shah Rukh Khan|Arjun Rampal|Kareena Kapoor|Shahana Goswami|Atul Sharma|Priyanka Chopra|Satish Shah|Armaan Verma|Dalip Tahil|Suresh Menon|Sanjay Dutt|Rajinikanth|Joe Egan|Ben Hawkey|,"Adventure, Action, Science Fiction",5.7,323.0
Drama|Music|Musical,Rockstar,Ranbir Kapoor|Nargis Fakhri|Shammi Kapoor|Kumud Mishra|Piyush Mishra|Shernaz Patel|Aditi Rao Hydari|Sanjana Sanghi|Shikha Jain|Jaideep Ahlawat|,"Drama, Music, Romance",7.24,181.0
Comedy|Drama|Romance,Miley Naa Miley Hum,Chirag Paswan|Kangana Ranaut|Neeru Bajwa|Sagarika Ghatge|Poonam Dhillon|Kabir Bedi|Kunal Kumar|Suresh Menon|Dalip Tahil|Shweta Tiwari|,"Comedy, Drama, Romance",4.0,4.0
Action|Crime|Drama,Tell Me O Kkhuda,Dharmendra|Vinod Khanna|Rishi Kapoor|Farooq Shaikh|Hema Malini|Esha Deol|Arjan Bajwa|Chandan Roy Sanyal|Johnny Lever|Meltem Cumbul|Madhoo|Sudhanshu Pandey|Richa Pallod|Rameshwari|,Family,3.0,2.0
Comedy|Drama|Romance,Damadamm!,Himesh Reshammiya|Sonal Sehgal|Purbi Joshi|Rajesh Khattar|,"Comedy, Drama, Romance",6.5,1.0
Comedy|Drama|Romance,Ladies vs Ricky Bahl,Ranveer Singh|Anushka Sharma|Parineeti Chopra|Dipannita Sharma|Aditi Sharma|,"Comedy, Drama, Romance",5.956,68.0
Comedy|Drama,Desi Boyz,Akshay Kumar|John Abraham|Deepika Padukone|Chitrangda Singh|Anupam Kher|Mohnish Bahl|Omi Vaidya|Virej Dasani|Satish Kaushik|Bharti Achrekar|Shrman Jain|Bruna Abdullah|Suparna Marwah|Kim Jagtiani|,"Comedy, Drama",6.183,90.0
Action|Crime|Drama,Game,Abhishek Bachchan|Kangana Ranaut|Anupam Kher|Boman Irani|Jimmy Sheirgill|Shahana Goswami|Gauhar Khan|Sarah-Jane Dias|Mantra|,"Mystery, Thriller",5.797,37.0
Biography|Crime|Drama,No One Killed Jessica,Rani Mukerji|Vidya Balan|Myra Karn|Neil Bhoopalam|Rajesh Sharma|Satyadeep Misra|Yogendra Tiku|,"Crime, Drama",6.831,74.0
Action|Comedy|Crime,Rascals,Ajay Devgn|Sanjay Dutt|Kangana Ranaut|Lisa Haydon|Arjun Rampal|Satish Kaushik|Hiten Paintal|Chunky Pandey|,Comedy,6.0,0.0
Biography|Drama,The Dirty Picture,Vidya Balan|Emraan Hashmi|Tusshar Kapoor|Naseeruddin Shah|Rajesh Sharma|,"Comedy, Drama",6.295,78.0
Comedy|Romance,Pyaar Impossible!,Priyanka Chopra|Anupam Kher|Uday Chopra|Jugal Hansraj|Dino Morea|Madhura Naik|Arjun Sablok|Nataliya Kozhenova|Advika Yadav|Rahul Vohra|Saidah Jules|Creighton Mark Johnson|Mark Charnick|,"Comedy, Romance",5.0,34.0
Comedy|Drama|Music,Chance Pe Dance,Shahid Kapoor|Genelia D'Souza|Mohnish Bahl|Satish Shah|Parikshat Sahni|Vikas Bhalla|Prince Roddey|Kurush Deboo|Bizz Kanwarpal|Mannu Rishi|Zain Khan|Aditi Bhatia|Zico Saigal|Shiven Jain|,"Music, Romance, Drama",5.214,28.0
Comedy|Crime|Drama,My Friend Pinto,Prateik|Kalki Koechlin|Arjun Mathur|Shruti Seth|Makrand Deshpande|Raj Zutshi|Divya Dutta|Shakeel Khan|Aseem Hattangadi|Faisal Rashid|Shikha Talsania|Asif Basra|,Comedy,5.7,3.0
Action|Adventure|Drama,Veer,Salman Khan|Jackie Shroff|Mithun Chakraborty|Zareen Khan|Amar Adatia|Lara Clear|Sohail Khan|Neena Gupta|Rajesh Vivek|Shahbaaz Khan|William Chubb|Alyona Khmara|Bharat Dabholkar|Raj Premi|,Action,0.0,0.0
Action|Crime|Drama,Striker,Siddharth|Ankur Vikal|Anupam Kher|Vidya Malvade|Seema Biswas|Padmapriya|Nicolette Bird|Anup Soni|Rajendra Gupta|Aditya Pancholi|Sitaram Panchal|Pushpendar Sain|Kuldeep Sareen|Ashok Beniwal|,"Drama, Crime",6.5,2.0
Drama|Mystery|Thriller,Rann,Amitabh Bachchan|Riteish Deshmukh|Gul Panag|Paresh Rawal|Sudeep|Neetu Chandra|Mohnish Bahl|Rajat Kapoor|Rajpal Yadav|Suchitra Krishnamoorthi|Nina Kulkarni|Simone Singh|K.K. Raina|Ikhlaq Khan|,"Drama, Thriller",6.7,16.0
Comedy|Drama|Romance,Ishqiya,Vidya Balan|Naseeruddin Shah|Arshad Warsi|Salman Shahid|Adil Hussain|Rajesh Sharma|Anupama Kumar|Gauri Mala|Alok Kumar|Anisha Bano|,"Thriller, Comedy",6.467,61.0
Drama|Thriller,Road to Sangam,Paresh Rawal|Om Puri|Pavan Malhotra|Javed Sheikh|Swati Chitnis|Masood Akhtar|Sudhir Nema|Rakesh Srivastava|Yusuf Hussain|Rajan Bhise|G.P. Singh|Vijay Mishra|Tushar Gandhi|,Drama,7.0,3.0
Drama|Romance,Jo Hum Chahein,Sunny Gill|Simran Kaur Mundi|Alyy Khan|Achint Kaur|Yuri Suri|Samar Virmani|Mansi Multani|,Romance,2.0,1.0
Drama|Horror|Mystery,Click,Shreyas Talpade|Sada|Sneha Ullal|Rehan Khan|Chunky Pandey|,"Comedy, Drama, Fantasy",6.286,6873.0
Comedy|Drama,Toh Baat Pakki!,Tabu|Sharman Joshi|Yuvika Chaudhry|Vatsal Sheth|Ayub Khan|,"Drama, Comedy",5.8,5.0
Drama,My Name Is Khan,Shah Rukh Khan|Kajol|Katie A. Keane|Kenton Duty|Benny Nieves|Christopher B. Duncan|Jimmy Sheirgill|Sonya Jehan|Parvin Dabas|Arjun Mathur|Sugandha Garg|Zarina Wahab|S.M. Zaheer|Arif Zakaria|,"Drama, Romance",8.039,1272.0
Crime|Drama|Thriller,Teen Patti,Amitabh Bachchan|Madhavan|Shraddha Kapoor|Akkash Basnet|Siddharth Kher|Dhruv Ganesh|Saira Mohan|Vaibhav Talwar|Raima Sen|Ben Kingsley|,"Drama, Thriller",4.1,7.0
Drama|Mystery|Thriller,Karthik Calling Karthik,Siddhartha Gupta|Swapnel Desai|Farhan Akhtar|Vipin Sharma|Kanchan Pagare|Ram Kapoor|Haansaa|Vivan Bhatena|Deepika Padukone|Abhay Joshi|Prachi|Zafar|Shefali Shah|Brijendra Kala|,"Romance, Thriller",6.224,87.0
Action|Crime|Thriller,Don 2,Shah Rukh Khan|Priyanka Chopra|Boman Irani|Lara Dutta|Kunal Kapoor|Om Puri|Nawab Shah|Alyy Khan|Sahil Shroff|Florian Lukas|Leonard Benhaus|Hrithik Roshan|Andreas Adam|Marco Ammer|,"Action, Thriller",7.0,226.0
Drama|Horror|Mystery,Rokkk,Tanushree Dutta|Udita Goswami|Shaad Randhawa|Sachin Khedekar|Ashwini Kalsekar|Arif Zakaria|Murli Sharma|Nishigandha Wad|,"Thriller, Horror, Mystery",4.0,2.0
Action|Drama|Thriller,Aakhari Decision,Paul Sidhu|Sumona Chakravarti|Anant Jog|Nagesh Bhonsle|Rio Kapadia|Navni Parihar|Pradeep Kharab|Curtis Buck|Mushtaq Khan|Shamar Andrew|Kamlesh Sawant|Ghanshyam Garg|,"Action, Drama",2.0,2.0
Crime|Drama|Thriller,Right Yaaa Wrong,Sunny Deol|Irrfan Khan|Isha Koppikar|Konkona Sen Sharma|Sanjay Singh|Deepal Shaw|Aryan Vaid|Ashok Samarth|Ali Haji|Parikshat Sahni|Vijay Patkar|Kamlesh Sawant|Arvind Vaidya|Shilpi Sharma|,"Thriller, Crime, Drama",4.5,4.0
Drama,Sukhmani: Hope for Life,Gurdas Maan|Juhi Chawla|Divya Dutta|Anup Soni|Bhagwant Mann|Rana Jung Bahadur|Shavinder Mahal|Gurvinder Gauri|Shammi Malhotra|Baby Saifina|Baby Rushita|Shammi|Tej Sapru|Gurkirtan|,N/A,,
Crime|Drama,Thanks Maa,Master Shams|Master Salman|Master Jaffer|Master Fayaaz|Baby Almas|,"Comedy, Drama",4.9,5.0
Comedy|Drama,Na Ghar Ke Na Ghaat Ke,Om Puri|Paresh Rawal|Neena Gupta|Ravi Kishan|Rahul Aggarwal|Narayani Shastri|Shweta Salve|Shriya Saran|Ehsan Khan|Ananth Narayan Mahadevan|Neeraj Vora|,,6.25,2.0
Action|Drama|Mystery,Trump Card,Vikrum Kumar|Haidar Ali|Urvashi Chaudhary|Mansi Dovhal|Vikas Anand|Ehsan Khan|Vishwajeet Pradhan|Deepak Chadha|Shashi Sharma|Sheetal Bedi|Sudesh Kaul|Idris Malik|Pankaj|Yashika|,Documentary,5.1,27.0
Adventure|Horror|Romance,Shaapit,Aditya Narayan|Shweta Agarwal|Shubh Joshi|Natasha Sinha|Murli Sharma|Nishigandha Wad|Manoj Verma|Prithvi Zutshi|Neha Bam|Sunny Hinduja|Rahul Dev|,Horror,5.2,9.0
Comedy|Drama|Fantasy,Hum Tum Aur Ghost,Arshad Warsi|Dia Mirza|Boman Irani|Sandhya Mridul|Zehra Naqvi|Tinnu Anand|Shernaz Patel|Rituraj Singh|Asawari Joshi|Javed Sheikh|Ifte Amed|Aneesa Batt|Ashwin Mushran|Farhan Siddique|,"Drama, Science Fiction",4.9,3.0
Comedy,Well Done Abba,Boman Irani|Minissha Lamba|Sammir Dattani|Ila Arun|Ravi Kishan|Sonali Kulkarni|Rajit Kapoor|Ravi Jhankal|Yashpal Sharma|Rajendra Gupta|Rahul Singh|Salim Ghouse|Satish Sharma|Lalit Tiwari|,Comedy,6.0,6.0
Comedy|Drama,Tum Milo Toh Sahi,Nana Patekar|Dimple Kapadia|Sunil Shetty|Vidya Malvade|Rehan Khan|Anjana Sukhani|Mohnish Bahl|Vrajesh Hirjee|Smita Jaykar|,"Comedy, Drama",5.7,3.0
Comedy|Drama|Fantasy,Jaane Kahan Se Aayi Hai,Priyanka Chopra|Akshay Kumar|Jacqueline Fernandez|Riteish Deshmukh|Karan Johar|Sajid Khan|Amrita Rao|Milap Zaveri|Farah Khan|Satish Shah|Sonal Sehgal|Supriya Pilgaonkar|Gitanjali Rao|Ruslaan Mumtaz|,"Comedy, Drama, Fantasy, Romance",4.7,9.0
Comedy|Drama,Prem Kaa Game,Arbaaz Khan|Madhuri Bhattacharya|Tara Sharma|Johnny Lever|Rakesh Bedi|Vivek Shauq|Razak Khan|Lilliput|Sameer Kochhar|Rubi Chakravarthy|Bhavya|Smita Rao|Malaika Arora|,"Drama, Romance",0.0,0.0
Drama|Romance,Sadiyaan,Rekha|Hema Malini|Javed Sheikh|Avtar Gill|Rakhee Tandon|Navni Parihar|Rekha Rao|Vipinn O.|Veena Barua|Ranjan Koshal|Deep Dhillon|Rishi Kapoor|Ahmed Khan|Shakeel Khan|,"Drama, Romance",8.5,3.0
Drama|Romance,The Japanese Wife,Rahul Bose|Chigusa Takaku|Raima Sen|Moushumi Chatterjee|Paran Banerjee|Kharaj Mukherjee|Rudranil Ghosh|Debranjan Nag|Jagannath Guha|Sagnik Chowdhury|Sourodip Bhattacharya|Ranu Bandhopadhyay|Arindol Bagchi|Khagendra Nath Das|,"Drama, Romance",6.861,18.0
Drama|Family,Paathshaala,Nana Patekar|Shahid Kapoor|Ayesha Takia|Sushant Singh|Saurabh Shukla|Anjan Srivastav|Kurush Deboo|Sanatan Mody|Shraddha Arya|Kainaz Motivala|Dwij Yadav|Swini Khara|Ali Haji|,"Drama, Family",4.9,16.0
Drama|Horror|Mystery,Phoonk 2,Sudeep|Amruta Khanvilkar|Ahsaas Channa|,"Horror, Thriller",4.9,4.0
Action|Drama|Sport,Lahore,Farooq Shaikh|Nafisa Ali|Aanaahad|Sabyasachi Chakrabarty|Shradha Das|Sushant Singh|Kelly Dorji|Saurabh Shukla|Mukesh Rishi|Nirmal Pandey|Shraddha Nigam|Ashish Vidyarthi|,"Action, Drama",6.0,2.0
Drama|Mystery|Thriller,Apartment,Rohit Roy|Tanushree Dutta|Neetu Chandra|Mushtaq Khan|Ravi Jhankal|Nassar Abdulla|Parul Shah|Anupam Kher|,Thriller,4.2,8.0
Crime|Drama,City of Gold,Sachin Khedekar|Seema Biswas|Ankush Chaudhari|Satish Kaushik|Siddarth Jadhav|Shashank Shende|Sameer Dharmadhikari|Karan Patel|Veena Jamkar|Kashmira Shah|Viineet Kumar|Vinay Apte|Nitin Jadhav|Ganesh Yadav|,Documentary,6.1,27.0
Action|Crime|Drama,Chase,Anuj Saxena|Udita Goswami|Tarina Patel|Sameer Kochhar|Rajesh Khattar|Aditya Raj|Sanjay Mishra|Shweta Menon|Gulshan Grover|,,0.0,0.0
Comedy,Housefull,Akshay Kumar|Deepika Padukone|Riteish Deshmukh|Lara Dutta|Arjun Rampal|Boman Irani|Jiah Khan|Randhir Kapoor|Chunky Pandey|Lillete Dubey|Malaika Arora|Daisy Irani|Jacqueline Fernandez|Subhaan Nadiadwala|,"Family, Comedy",5.5,1.0
Drama,Mittal v/s Mittal,Hazel Croney|Gulshan Grover|Iravati Harshe|Suchitra Krishnamoorthi|Reema Lagoo|Rohit Roy|Rituparna Sengupta|Anjan Srivastav|Amar Talwar|,Drama,0.0,0.0
Comedy|Drama|Fantasy,It's a Wonderful Afterlife,Sanjeev Bhaskar|Steve Morphew|Steve Jones|Jamie Sives|Sendhil Ramamurthy|Mark Addy|Shabana Azmi|Goldy Notay|Sacha Shilov|Teghvir Gujral|Harry Rance|Ray Panthaki|Jack Gordon|Shaheen Khan|,"Comedy, Romance",4.55,20.0
Action|Sci-Fi|Thriller,Prince,Vivek Oberoi|Isaiah|Aruna Shields|Nandana Sen|Neeru Bajwa|Sanjay Kapoor|Dalip Tahil|Manish Anand|Mayur Puri|Rajesh Khattar|,"Family, Fantasy, Comedy",6.966,29.0
Action|Adventure|Drama,Raavan,Abhishek Bachchan|Aishwarya Rai Bachchan|Govinda|Vikram|Ajay Gehi|Ravi Kishan|Priyamani|Nikhil Dwivedi|,"Drama, Family",0.0,0.0
Drama|Family|Thriller,Bumm Bumm Bole,Atul Kulkarni|Rituparna Sengupta|Darsheel Safary|Ziyah Vastani|,Drama,7.2,9.0
Comedy,Kushti,Rajpal Yadav|Nargis Bagheri|Om Puri|Sharat Saxena|Asrani|Jagdeeshan|Asif Basra|Nagesh|Rasika Joshi|Razak Khan|Neha|Ali|Irfan|,"Comedy, Romance",3.5,2.0
Action|Drama|Romance,Kites,Hrithik Roshan|Steven Michael Quezada|Bárbara Mori|Kangana Ranaut|Kabir Bedi|Luce Rains|Anand Tiwari|Nicholas Brown|Yuri Suri|Clark Sanchez|Dave Colon|Madhuri Bhatia|Ivan Brutsche|Cynthia Lee|,"Drama, Action, Romance",7.206,204.0
Comedy|Crime|Drama,Love Sex Aur Dhokha,Nushrat Bharucha|Anshuman Jha|Neha Chauhan|Rajkummar Rao|Arya Banerjee|Amit Sial|Herry Tangiri|,"Drama, Comedy, Crime, Romance",0.0,0.0
Drama|Romance,Milenge Milenge,Kareena Kapoor|Shahid Kapoor|Aarti Chhabria|Delnaaz Irani|Satish Shah|,"Drama, Romance",4.3,13.0
Drama|Romance|Thriller,Ek Second... Jo Zindagi Badal De?,Bhushan Agarwal|Nikita Anand|Venita Anand|Bedi|Rozza Catalona|Pradeep Chaudhry|Hussain|Manisha Koirala|Hanbir Malik|Vicky Oberoi|Moammar Rana|Rao|Jackie Shroff|Agastyaa Singh|,"Thriller, Drama, Romance",0.0,0.0
Drama,Mr. Singh Mrs. Mehta,Prashant Narayanan|Aruna Shields|Naved Aslam|Lucy Hassan|,Drama,3.5,2.0
Action|Drama|Thriller,Lamhaa,Sanjay Dutt|Bipasha Basu|Kunal Kapoor|Anupam Kher|Shernaz Patel|Mahesh Manjrekar|Murli Sharma|Yashpal Sharma|Aman Verma|Yuri Suri|Vipin Sharma|Vinit Sharma|Asif Basra|,"Action, Thriller",6.6,7.0
Comedy|Crime|Drama,Khatta Meetha,Akshay Kumar|Trisha Krishnan|Kulbhushan Kharbanda|Aruna Irani|Urvashi Sharma|Milind Gunaji|Manoj Joshi|Rajpal Yadav|Johnny Lever|Asrani|Makrand Deshpande|Neeraj Vora|Esha|Geeta|,"Comedy, Drama",5.7,56.0
Comedy|Drama,Tere Bin Laden,Ali Zafar|Pradhuman Singh|Piyush Mishra|Nikhil Ratnaparkhi|Chirag Vohra|Sugandha Garg|Rahul Singh|Chinmay Mandlekar|Rajendra Sethi|Seema Bhargava|Barry John|,Comedy,6.4,49.0
Drama,Udaan,Rajat Barmecha|Ronit Roy|Manjot Singh|Ram Kapoor|Raja Hudda|Varun Khettry|Shashi Sharma|Khushkeran Singh Sandhu|Jayanta Das|Akantuk Sharma|Sahil Sahota|Aayan Boradia|Sonia Raisurana|Mohammad Nizam|,"Action, Drama, Crime, Thriller",6.0,3.0
Action|Crime|Drama,Once Upon a Time in Mumbaai,Ajay Devgn|Emraan Hashmi|Kangana Ranaut|Prachi Desai|Randeep Hooda|Naved Aslam|Sanjeev Wilson|Allauddin Khan|Rajeev Yadav|Sushil Pandey|Mehul Bhojak|Anjum Sharma|Dheerendra Dwivedi|Sumit Kaul|,"Drama, Thriller, Crime",6.611,81.0
Horror|Thriller,Help,Bobby Deol|Mugdha Godse|Shreyas Talpade|Sophie Handa|Linda Arsenio|Anaushka Dantra|Ashoi Dantra|,Drama,7.1,109.0
Comedy|Drama,Peepli Live,Omkar Das Manikpuri|Raghuvir Yadav|Shalini Vatsa|Farrukh Jaffar|Malaika Shenoy|Vishal Om Prakash|Nawazuddin Siddiqui|Sitaram Panchal|Naseeruddin Shah|Aamir Bashir|Pravin Singh Sisodia|,"Drama, Comedy",7.273,66.0
Action|Drama|Romance,Lafangey Parindey,Neil Nitin Mukesh|Deepika Padukone|,"Action, Drama, Romance",5.9,22.0
Comedy|Drama,Hello Darling,Gul Panag|Celina Jaitly|Isha Koppikar|Chunky Pandey|Javed Jaffrey|,Comedy,4.8,3.0
Drama,Antardwand,Raj Singh Chaudhary|Swati Sen|Akhilendra Mishra|Vinay Pathak|Himanshi|Jaya Bhattacharya|,Drama,6.8,4.0
Drama,Aashayein,John Abraham|Anaitha Nair|Girish Karnad|Farida Jalal|Prateeksha Lonkar|Ashwin Chitale|Sonal Sehgal|,Drama,6.636,11.0
Action|Crime|Drama,Soch Lo,Barkha Madan|Iris Maity|Nishan Nanaiah|Sartaj Singh Pannu|Himanshu Kohli|Bhupinder Singh|Reema Lambha|Waqar|Dushyant Shukla|Pratik Sanjeeva Rao|Amit D. Kumar|Imtiaz Ahmed|Ravi Sah|Shudhir Choudhury|,"Action, Mystery, Thriller",5.5,1.0
Action|Comedy,Dabangg,Salman Khan|Sonakshi Sinha|Sonu Sood|Arbaaz Khan|Vinod Khanna|Dimple Kapadia|Om Puri|Anupam Kher|Mahie Gill|Tinnu Anand|Mahesh Manjrekar|Murli Sharma|Malaika Arora|,"Action, Comedy, Crime",5.064,102.0
Comedy|Family,Khichdi: The Movie,Supriya Pathak|Anang Desai|Rajeev Mehta|Nimisha Vakharia|Gireesh Sahedev|J.D. Majethia|Kirti Kulhari|Kesar Majethia|Markand Soni|,"Comedy, Family",6.813,16.0
Action|Drama|Thriller,Red Alert: The War Within,Sunil Shetty|Sameera Reddy|Ashish Vidyarthi|Vinod Khanna|Naseeruddin Shah|Seema Biswas|Ayesha Dharker|Makrand Deshpande|Ehsan Khan|Bhagyashree|,"Drama, Action, Thriller, War",4.4,7.0
Drama,Life Express,Rituparna Sengupta|Kiran Janjani|Yashpal Sharma|Alok Nath|Nandita Puri|Anjan Srivastav|Daya Shankar Pandey|Vijayendra Ghatge|Divya Dutta|Sapan Saran|Suresh Gogia|Anjali Mahadevkar|Surinder Pal Singh|,,5.5,2.0
Comedy|Crime|Drama,The Film Emotional Atyachar,Ranvir Shorey|Vinay Pathak|Ravi Kishan|Mohit Ahlawat|Kalki Koechlin|Snehal Dabi|Anand Tiwari|Jimmy Varyani|Abhimanyu Singh|Shiv Subramaniyam|Shubha Khote|Sakshi Gulati|Pankaj Kalra|Nassar Abdulla|,"Thriller, Comedy",7.0,1.0
Comedy|Drama|Horror,Hisss,Mallika Sherawat|Irrfan Khan|Jeff Doucette|Divya Dutta|Raman Trikha|Mahmoud Babai|,"Fantasy, Horror, Thriller",3.5,34.0
Action|Drama|Thriller,Crook,Emraan Hashmi|Neha Sharma|Arjan Bajwa|Mashhoor Amrohi|Kavin Dave|Shella Alan|Francis Chouler|Jeffrey Tangreo Tsoutsos|Aman Hora|Jaideep Suri|J. Brandon Hill|Darmendra Singh|Shabnam|Viineet Kumar|,"Action, Crime, Thriller",5.1,7.0
Comedy|Drama,Do Dooni Chaar,Rishi Kapoor|Neetu Singh|Aditi Vasudev|Archit Krishna|Akhilendra Mishra|Natasha Rastogi|Supriya Shukla|Saransh Taneja|Pushpanjali Sharma|Vaibhav Rajour|Ravi Kumar|Jigar Mal|Sumit Tyagi|Prajvi Bagga|,"Drama, Comedy",6.5,24.0
Action|Crime|Thriller,Aakrosh,Ajay Devgn|Akshaye Khanna|Bipasha Basu|Paresh Rawal|Reema Sen|Amita Pathak|Sameera Reddy|Rajendra Gupta|Atul Tiwari|,"Action, Drama, Crime, Thriller",7.0,24.0
Adventure|Animation|Family,Ramayana: The Epic,Manoj Bajpayee|Juhi Chawla|Ashutosh Rana|,"Animation, Action, Adventure",5.8,6.0
Action|Crime|Drama,Knock Out,Sanjay Dutt|Irrfan Khan|Kangana Ranaut|Gulshan Grover|Apoorva Lakhia|Sushant Singh|Rukhsar Rehman|Asif Basra|Kurush Deboo|Shankar Sachdev|Shriya Sharma|Nidhi Jha|Joey Ansah|Silvio Simac|,"Action, Comedy, Crime, Drama",6.454,163.0
Comedy|Drama|Romance,Jhootha Hi Sahi,John Abraham|Paakhi A. Tyrewala|Raghu Ram|Manasi Scott|Alishka Varde|Anaitha Nair|George Young|Omar Khan|Prahsant Chawla|Madhavan|Nandana Sen|Imran Khan|Riteish Deshmukh|Abhishek Bachchan|,"Drama, Romance",4.773,11.0
Drama,Guzaarish,Hrithik Roshan|Aishwarya Rai Bachchan|Shernaz Patel|Aditya Roy Kapoor|Nafisa Ali|Monikangana Dutta|Suhel Seth|Rajit Kapoor|Ash Chandler|Vijay Crishna|Makrand Deshpande|Olivier Lafont|Jineet Rath|Parveen Rabbani|,"Drama, Romance",7.399,109.0
Action|Crime|Drama,Allah Ke Banday,Varun Bhagwat|Vikram Gokhale|Zakir Hussain|Bharat Jha|Sharman Joshi|Faruk Kabir|Ajaz Khan|Atul Kulkarni|Saksham Kulkarni|Talib Mehdi|Suhasini Mulay|Satyajeet Rajput|Rukhsar Rehman|Javed Rizvi|,Drama,7.0,1.0
Comedy|Drama|Romance,Break Ke Baad,Deepika Padukone|Imran Khan|Lillete Dubey|Sharmila Tagore|Shahana Goswami|Navin Nischol|Parzaan Dastur|Neelu Kohli|Yudhishtir Urs|Gaurav Nanda|Ziyah Vastani|,"Drama, Comedy, Romance",5.6,38.0
Action|Crime|Drama,Khuda Kasam,Sunny Deol|Tabu|,"Action, Drama",0.0,0.0
